idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,3,0,1,22.11,0,1,20,3,322.11
2,2,0,2,6.53,0,1,20,1,106.53
3,2,0,4,14.52,0,1,20,1,114.52
4,2,0,0,7.9,0,1,20,0,7.9
5,2,0,1,9.83,0,1,20,0,9.83
6,3,0,0,18.47,0,0,20,2,218.47
7,2,0,3,12.45,0,1,20,1,112.45
8,1,0,0,18.09,1,0,20,3,318.09
9,4,0,0,21.67,2,0,20,2,221.67000000000002
10,5,0,0,22.87,3,0,20,1,122.87
11,5,0,1,16.72,4,0,20,2,216.72
12,5,0,2,17.64,5,0,20,2,217.64
13,4,0,1,13.33,6,0,20,3,313.33
14,4,0,2,14.3,7,0,20,3,314.3
15,6,0,0,19.86,8,0,20,1,119.86
16,6,0,1,10.49,9,0,20,1,110.49
17,6,0,2,14.67,10,0,20,1,114.67
18,6,0,3,18.33,11,0,20,0,18.33
19,5,0,3,6.95,12,0,20,3,306.95
20,6,0,4,16.13,13,0,20,0,16.13
21,4,0,3,16.11,14,0,20,3,316.11
22,5,0,4,9.43,15,0,20,1,109.43
23,4,0,4,21.5,16,0,20,1,121.5
