idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,13.8,1,113.8,0,0,20
2,4,0,4,22.72,3,322.72,0,1,20
3,4,0,2,18.5,2,218.5,0,1,20
4,1,0,0,13.17,3,313.17,0,0,20
5,3,0,1,13.04,0,13.04,0,1,20
6,1,0,2,23.96,3,323.96,0,1,20
7,4,0,1,19.24,1,119.24,0,0,20
8,1,0,1,8.44,2,208.44,0,0,20
9,3,0,0,11.17,0,11.17,0,1,20
10,4,0,3,6.86,3,306.86,0,1,20
11,3,0,2,10.87,3,310.87,1,0,20
12,2,0,0,9.87,3,309.87,2,0,20
13,5,0,0,15.52,0,15.52,3,0,20
14,5,0,1,22.63,1,122.63,4,0,20
15,5,0,2,12.77,2,212.77,5,0,20
16,6,0,0,10.84,1,110.84,6,0,20
17,6,0,1,23.72,0,23.72,7,0,20
18,5,0,3,21.38,2,221.38,8,0,20
19,3,0,3,14.97,3,314.97,9,0,20
20,6,0,2,16.64,1,116.64,10,0,20
21,6,0,3,7.54,1,107.54,11,0,20
22,2,0,1,14.28,3,314.28,12,0,20
23,6,0,4,5.11,1,105.11,13,0,20
24,5,0,4,20.36,1,120.36,14,0,20
25,2,0,2,23.26,1,123.26,15,0,20
