idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,1,0,0,7.54,1,0,0,20
2,1,0,1,17.24,2,0,0,20
3,2,0,0,5.53,3,0,0,20
4,1,0,2,21.79,4,0,0,20
5,2,0,1,11.31,5,0,0,20
6,1,0,3,23.57,6,0,0,20
7,3,0,0,5.69,7,0,0,20
8,2,0,2,16.84,8,0,0,20
9,2,0,3,20.28,9,0,0,20
10,3,0,1,17.29,10,0,0,20
11,2,0,4,21.93,11,0,0,20
12,3,0,2,19.17,12,0,0,20
13,4,0,0,17.42,13,0,0,20
14,3,0,3,21.64,14,0,0,20
15,5,0,0,11.34,15,0,0,20
16,6,0,0,7.87,16,0,0,20
17,1,0,4,23.97,17,0,0,20
18,4,0,1,19.81,18,0,0,20
19,6,0,1,7.88,19,0,0,20
20,5,0,1,17.63,20,0,0,20
21,6,0,2,13.8,21,0,0,20
22,5,0,2,18.76,22,0,0,20
23,6,0,3,6.81,23,0,0,20
24,6,0,4,15.89,24,0,0,20
25,5,0,3,11.39,25,0,0,20
26,5,0,4,18.01,26,0,0,20
27,4,0,2,7.06,27,0,0,20
