idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,6,0,1,14.66,0,0,1,20
2,2,0,0,13.97,0,0,0,20
3,6,0,0,11.11,0,0,0,20
4,6,0,3,16.33,0,0,1,20
5,6,0,2,15.76,0,0,1,20
6,1,0,0,6.65,1,0,0,20
7,5,0,0,18.91,2,0,0,20
8,2,0,1,16.72,3,0,0,20
9,1,0,1,9.79,4,0,0,20
10,1,0,2,14.44,5,0,0,20
11,4,0,0,11.62,6,0,0,20
12,3,0,0,6.41,7,0,0,20
13,1,0,3,8.69,8,0,0,20
14,5,0,1,23.41,9,0,0,20
15,2,0,2,20.85,10,0,0,20
16,2,0,3,22.5,11,0,0,20
17,3,0,1,6.87,12,0,0,20
18,1,0,4,11.86,13,0,0,20
19,3,0,2,8.16,14,0,0,20
20,3,0,3,17.25,15,0,0,20
