idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,3,0,0,5.61,0,0,0,20
2,3,0,1,20.89,0,0,1,20
3,3,0,2,22.4,0,0,1,20
4,1,0,0,13.84,1,0,0,20
5,5,0,0,19.92,2,0,0,20
6,2,0,0,8.34,3,0,0,20
7,5,0,1,20.82,4,0,0,20
8,1,0,1,17.77,5,0,0,20
9,4,0,0,5.65,6,0,0,20
10,3,0,3,22.93,7,0,0,20
11,6,0,0,21.27,8,0,0,20
12,4,0,1,18.11,9,0,0,20
13,2,0,1,17.65,10,0,0,20
14,2,0,2,14.41,11,0,0,20
15,1,0,2,13.87,12,0,0,20
16,1,0,3,7.58,13,0,0,20
17,2,0,3,15.47,14,0,0,20
18,2,0,4,15.53,15,0,0,20
19,4,0,2,20.56,16,0,0,20
20,6,0,1,21.92,17,0,0,20
