idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,14.44,1,0,0,20
2,5,0,1,14.62,2,0,0,20
3,6,0,0,18.69,3,0,0,20
4,6,0,1,19.16,4,0,0,20
5,2,0,0,9.24,5,0,0,20
6,5,0,2,15.15,6,0,0,20
7,6,0,2,21.57,7,0,0,20
8,4,0,0,10.38,8,0,0,20
9,4,0,1,11.79,9,0,0,20
10,6,0,3,22.25,10,0,0,20
11,2,0,1,11.39,11,0,0,20
12,2,0,2,10.03,12,0,0,20
13,2,0,3,10.97,13,0,0,20
14,5,0,3,19.89,14,0,0,20
15,3,0,0,9.15,15,0,0,20
16,3,0,1,9.95,16,0,0,20
17,3,0,2,13.62,17,0,0,20
18,2,0,4,16.04,18,0,0,20
19,1,0,0,6.69,19,0,0,20
20,4,0,2,11.95,20,0,0,20
21,1,0,1,9.54,21,0,0,20
22,1,0,2,5.92,22,0,0,20
23,3,0,3,17.61,23,0,0,20
