idx,weight,score,reloc,loc_x,loc_y,loc_z,size(ft),seq,group,emerg
1,14.28,14.28,0,5,0,0,20,1,0,0
2,7.32,7.32,0,1,0,0,20,2,0,0
3,10.14,10.14,0,4,0,0,20,3,0,0
4,10.58,10.58,0,4,0,1,20,4,0,0
5,20.83,20.83,0,6,0,0,20,5,0,0
6,22.48,22.48,0,6,0,1,20,6,0,0
7,14.19,14.19,0,4,0,2,20,7,0,0
8,6.52,6.52,0,1,0,1,20,8,0,0
9,5.38,5.38,0,2,0,0,20,9,0,0
10,17.38,17.38,0,5,0,1,20,10,0,0
11,9.6,9.6,0,1,0,2,20,11,0,0
12,5.81,5.81,0,2,0,1,20,12,0,0
13,6.38,6.38,0,3,0,0,20,13,0,0
14,19.62,19.62,0,4,0,3,20,14,0,0
15,17.39,17.39,0,5,0,2,20,15,0,0
16,17.13,17.13,0,1,0,3,20,16,0,0
17,20.9,20.9,0,4,0,4,20,17,0,0
18,12.99,12.99,0,3,0,1,20,18,0,0
19,6.31,6.31,0,2,0,2,20,19,0,0
20,14.25,14.25,0,3,0,2,20,20,0,0
21,18.75,18.75,0,5,0,3,20,21,0,0
22,5.62,5.62,0,2,0,3,20,22,0,0
23,11.9,11.9,0,1,0,4,20,23,0,0
24,8.41,8.41,0,2,0,4,20,24,0,0
25,23.05,23.05,0,6,0,2,20,25,0,0
