idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,5,0,0,14.33,0,0,0,20
2,1,0,1,9.86,0,0,1,20
3,5,0,1,14.19,0,0,0,20
4,5,0,2,21.2,0,0,1,20
5,1,0,0,7.1,0,0,1,20
6,1,0,2,15.13,1,0,0,20
7,1,0,3,21.05,2,0,0,20
8,5,0,3,23.16,3,0,0,20
9,2,0,0,11.58,4,0,0,20
10,6,0,0,19.94,5,0,0,20
11,2,0,1,15.34,6,0,0,20
12,3,0,0,10.07,7,0,0,20
13,5,0,4,23.31,8,0,0,20
14,4,0,0,13.84,9,0,0,20
15,6,0,1,20.93,10,0,0,20
16,2,0,2,19.13,11,0,0,20
17,2,0,3,13.52,12,0,0,20
18,3,0,1,13.22,13,0,0,20
19,3,0,2,10.28,14,0,0,20
20,3,0,3,18.07,15,0,0,20
21,3,0,4,18.81,16,0,0,20
22,2,0,4,13.35,17,0,0,20
23,6,0,2,20.68,18,0,0,20
24,4,0,1,14.96,19,0,0,20
25,4,0,2,20.13,20,0,0,20
