idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,5,0,0,12.07,0,0,20,0,12.07
2,5,0,1,14.95,0,1,20,0,14.95
3,5,0,2,20.51,0,1,20,0,20.51
4,1,0,0,19.13,1,0,20,0,19.13
5,2,0,0,8.48,2,0,20,0,8.48
6,2,0,1,15.53,3,0,20,0,15.53
7,3,0,0,8.62,4,0,20,0,8.62
8,3,0,1,13.31,5,0,20,0,13.31
9,4,0,0,5.45,6,0,20,0,5.45
10,3,0,2,14.73,7,0,20,0,14.73
11,6,0,0,5.29,8,0,20,0,5.29
12,4,0,1,10.27,9,0,20,0,10.27
13,5,0,3,21.15,10,0,20,0,21.15
14,1,0,1,23.98,11,0,20,0,23.98
15,2,0,2,16.8,12,0,20,0,16.8
16,2,0,3,18.72,13,0,20,0,18.72
17,2,0,4,21.65,14,0,20,0,21.65
18,4,0,2,12.02,15,0,20,0,12.02
19,3,0,3,20.15,16,0,20,0,20.15
20,4,0,3,12.81,17,0,20,0,12.81
