idx,loc_x,loc_y,loc_z,weight,seq,reloc,size(ft),group,score
1,6,0,0,14.15,0,0,20,0,14.15
2,1,0,0,7.48,0,0,20,0,7.48
3,6,0,3,22.27,0,1,20,0,22.27
4,1,0,1,7.41,0,0,20,0,7.41
5,6,0,1,17.31,0,0,20,0,17.31
6,2,0,0,7.05,0,0,20,0,7.05
7,1,0,2,11.09,0,1,20,0,11.09
8,1,0,3,12.94,0,1,20,0,12.94
9,1,0,4,17.08,0,1,20,0,17.08
10,6,0,2,18.06,0,1,20,0,18.06
11,2,0,1,17.05,1,0,20,0,17.05
12,2,0,2,18.59,2,0,20,0,18.59
13,2,0,3,21.02,3,0,20,0,21.02
14,3,0,0,18.46,4,0,20,0,18.46
15,4,0,0,12.18,5,0,20,0,12.18
16,5,0,0,7.44,6,0,20,0,7.44
17,4,0,1,17.82,7,0,20,0,17.82
18,5,0,1,7.73,8,0,20,0,7.73
19,5,0,2,17.54,9,0,20,0,17.54
20,5,0,3,17.57,10,0,20,0,17.57
21,3,0,1,20.01,11,0,20,0,20.01
22,4,0,2,19.83,12,0,20,0,19.83
23,5,0,4,9.01,13,0,20,0,9.01
24,4,0,3,11.47,14,0,20,0,11.47
25,4,0,4,5.49,15,0,20,0,5.49
