idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,2,0,2,20.19,0,0,1,20
2,2,0,0,9.41,0,0,0,20
3,2,0,3,23.34,0,0,1,20
4,2,0,1,19.95,0,0,0,20
5,1,0,0,5.29,0,0,0,20
6,6,0,0,16.39,1,0,0,20
7,6,0,1,19.12,2,0,0,20
8,1,0,1,20.82,3,0,0,20
9,3,0,0,6.84,4,0,0,20
10,3,0,1,9.59,5,0,0,20
11,3,0,2,19.13,6,0,0,20
12,5,0,0,14.48,7,0,0,20
13,5,0,1,18.1,8,0,0,20
14,4,0,0,6.86,9,0,0,20
15,1,0,2,23.3,10,0,0,20
16,5,0,2,17.9,11,0,0,20
17,3,0,3,21.88,12,0,0,20
18,4,0,1,13.69,13,0,0,20
19,6,0,2,21.54,14,0,0,20
20,4,0,2,13.93,15,0,0,20
21,5,0,3,19.81,16,0,0,20
22,3,0,4,19.25,17,0,0,20
23,4,0,3,14.31,18,0,0,20
24,4,0,4,17.37,19,0,0,20
25,5,0,4,12.87,20,0,0,20
26,2,0,4,23.53,21,0,0,20
27,6,0,3,8.52,22,0,0,20
